Concept,Images,All Annotations
laundry,laundry_1.jpg,"basket: 5, washing machine: 5, clothes: 5, machine: 3, washer: 3, white: 2, wall: 2, bench: 2, cupboard: 2, light: 1, clean: 1, house: 1, cloth washing: 1, laundry pull: 1, out bench: 1, shelf: 1, room: 1, switchbox: 1, floor: 1"
office,office_1.jpg,"chair: 9, table: 8, window: 7, desk: 3, room: 2, glass: 2, light: 1, furniture: 1, office furniture: 1, building: 1, cotton: 1, floor: 1, office: 1, drawer: 1"
banana,banana_1.jpg,"banana: 7, leaf: 7, tree: 5, sky: 4, banana tree: 3, green: 2, stem: 2, useful: 1, traditional: 1, food: 1, benefit: 1, colorful: 1, healthy: 1, flower: 1, banana leaf: 1, banana stem: 1, fruit: 1, vitamin: 1"
paper,paper_1.jpg,"paper: 7, thread: 3, vintage: 2, hole: 2, string: 1, notebook: 1, die vintage: 1, old paper: 1, old note paper: 1, vintage paper: 1, note: 1, old: 1, rare: 1, map: 1, oldest: 1, poster: 1, isolated: 1, letter: 1, old note: 1, blank: 1, scrapbook: 1, knot: 1, not: 1, square shape: 1, rod: 1"
allegiance,allegiance_1.jpg,"man: 6, shirt: 3, wall: 2, patrick stewart: 2, x-men: 2, red/black uniform: 2, captain: 2, movie: 2, ear: 2, angry: 1, fight: 1, cruel: 1, bald: 1, bald head: 1, super hero: 1, old man: 1, unique: 1, beautiful: 1, red: 1, eyes: 1, nose: 1, mouth: 1, head: 1, digital screen: 1"
generation,generation_1.jpg,"man: 6, woman: 6, generation: 4, dress: 3, couples: 2, boy: 2, girl: 2, student: 2, people: 2, color: 2, words: 2, target: 1, crowd: 1, calm: 1, face: 1, together: 1, shirt: 1, pant: 1, generationx: 1, generationy: 1, generationz: 1, family: 1"
intention,intention_1.jpg,"sky: 6, sea: 5, beach: 3, waves: 3, sand: 3, quotes: 2, water: 2, stone: 1, white: 1, motivation: 1, happy life: 1, good intention: 1, peaceful: 1, set goal: 1, blue: 1, post card: 1, ocean: 1, words: 1"
paradigm,paradigm_1.jpg,"example: 4, paradigm: 4, word: 3, letters: 2, research: 2, study: 2, typical: 1, pattern: 1, ideas: 1, american way of life: 1, beliefs: 1, good meaning: 1, background green: 1, positivism: 1, positive: 1, display: 1, rectangle: 1, green: 1, black: 1, white: 1, green color: 1, words: 1, english: 1"
cone,cone_1.jpg,"shadow: 3, red: 3, white: 3, pine: 2, stone pin: 2, natural: 2, pine cone: 2, sand: 1, sheet: 1, unique: 1, stone: 1, stone pine: 1, forest: 1, plant: 1, floral: 1, pitch: 1, jeffrey: 1, house: 1, sun light: 1, pinecone: 1, italian stone pine: 1, coniferous: 1, woody: 1, ornamental: 1"
accountancy,accountancy_1.jpg,"pen: 8, hand: 8, calculator: 7, note: 5, paper: 4, table: 2, form: 2, office: 2, sum: 1, notebook: 1, calculator
calculator: 1, books: 1, calculate: 1, spiral: 1"
apple,apple_1.jpg,"desktop: 3, wallpaper: 3, monitor: 3, system: 3, icon: 2, desert: 2, apple: 2, tv: 2, product: 2, screen: 2, internet: 1, dark: 1, costly: 1, apple pc: 1, nice wallpaper: 1, touch screen: 1, logo: 1, apple logo: 1, apple brand: 1, rectangle: 1, apple symbol: 1, apps: 1, mountain: 1"
guilt,guilt_1.jpg,"leg: 5, blood: 3, floor: 3, foot print: 2, image: 2, poster: 2, foot: 2, legs: 1, buildings: 1, red: 1, society: 1, series: 1, guilt freedom: 1, guilt: 1, freeform: 1, woman: 1, web series: 1, freedom: 1, picture: 1, building: 1, walk: 1, drawing: 1"
mortality,mortality_1.jpg,"map: 6, world map: 4, sea: 4, continent: 3, country: 3, ocean: 2, yellow: 2, earth: 2, orange: 1, india: 1, world: 1, desert: 1, articles: 1, red: 1, letters: 1, lands: 1, mortality rate: 1, population: 1"
horn,horn_1.jpg,"horn: 6, fish shape: 3, powder horn: 2, museum: 2, horns: 2, music instrument: 1, weapon: 1, national museum: 1, orange: 1, sound: 1, carved: 1, pete: 1, scrimshaw: 1, hunt: 1, mystery: 1, unique: 1, rare: 1, sharp: 1, ear shaped: 1, old: 1, pipe: 1, decoration piece: 1, brown color: 1, brown: 1, cap: 1"
accuracy,accuracy_1.jpg,"target: 4, circle: 3, yellow: 3, aim: 2, focus: 2, goal: 2, dartboard: 2, game: 2, black: 2, dart arrow: 1, stick: 1, hit play: 1, green: 1, center: 1, dart: 1, points: 1, dart stick: 1, crush pixel: 1, win: 1, play: 1, arrow: 1, archery: 1, board: 1, white: 1"
bag,bag_1.jpg,"hand: 4, hand bag: 3, handbag: 3, leather: 3, door: 3, bag: 2, wallet: 2, make up things: 2, purse: 2, saving: 1, money: 1, purchase: 1, iconic monogram bag: 1, leather bag: 1, carry things: 1, ladies thing: 1, brown: 1, louis vuitton: 1, fingers: 1, wall: 1"
equality,equality_1.jpg,"yellow: 7, red: 7, brown: 5, hand: 3, pink: 2, black: 2, sandal: 2, grey: 2, hi: 1, ash: 1, orange: 1, white: 1, hand print: 1, color: 1, fingers: 1, six hand: 1, six colors: 1"
courage,courage_1.jpg,"sky: 6, fly: 6, adventures: 3, diving: 2, exciting: 2, helmet: 2, air: 2, person: 2, man: 1, woman: 1, skydive: 1, nature: 1, coat: 1, rope: 1, hand: 1, focus: 1, two: 1, male: 1, female: 1, advancer: 1, skydress: 1, glass: 1, flying: 1, hanging: 1, helpmate: 1"
